zt, wre_ref, wre, wre_refF, wm_ref, wm, wm_refF, va, ia, dwre, zdwre, e_induced
10.159000, 83.774114, 83.780951, 83.774114, 800.000000, 800.065293, 800.000000, 83.880782, 0.099808, -0.006839, 0.162435, 83.780951
10.160000, 83.774114, 83.780932, 83.774114, 800.000000, 800.065110, 800.000000, 83.880763, 0.099809, -0.006820, 0.162429, 83.780932
10.161000, 83.774114, 83.780913, 83.774114, 800.000000, 800.064927, 800.000000, 83.880744, 0.099809, -0.006801, 0.162422, 83.780913
10.162000, 83.774114, 83.780894, 83.774114, 800.000000, 800.064745, 800.000000, 83.880726, 0.099810, -0.006782, 0.162415, 83.780894
10.163000, 83.774114, 83.780875, 83.774114, 800.000000, 800.064563, 800.000000, 83.880707, 0.099810, -0.006763, 0.162408, 83.780875
10.164000, 83.774114, 83.780856, 83.774114, 800.000000, 800.064382, 800.000000, 83.880689, 0.099811, -0.006744, 0.162401, 83.780856
10.165000, 83.774114, 83.780837, 83.774114, 800.000000, 800.064202, 800.000000, 83.880670, 0.099811, -0.006725, 0.162395, 83.780837
10.166000, 83.774114, 83.780818, 83.774114, 800.000000, 800.064022, 800.000000, 83.880652, 0.099812, -0.006706, 0.162388, 83.780818
10.167000, 83.774114, 83.780799, 83.774114, 800.000000, 800.063842, 800.000000, 83.880633, 0.099812, -0.006687, 0.162381, 83.780799
10.168000, 83.774114, 83.780780, 83.774114, 800.000000, 800.063663, 800.000000, 83.880615, 0.099813, -0.006669, 0.162375, 83.780780
10.169000, 83.774114, 83.780762, 83.774114, 800.000000, 800.063485, 800.000000, 83.880597, 0.099813, -0.006650, 0.162368, 83.780762
10.170000, 83.774114, 83.780743, 83.774114, 800.000000, 800.063307, 800.000000, 83.880579, 0.099814, -0.006631, 0.162361, 83.780743
10.171000, 83.774114, 83.780724, 83.774114, 800.000000, 800.063129, 800.000000, 83.880561, 0.099814, -0.006613, 0.162355, 83.780724
10.172000, 83.774114, 83.780706, 83.774114, 800.000000, 800.062952, 800.000000, 83.880543, 0.099815, -0.006594, 0.162348, 83.780706
10.173000, 83.774114, 83.780687, 83.774114, 800.000000, 800.062776, 800.000000, 83.880525, 0.099815, -0.006576, 0.162341, 83.780687
10.174000, 83.774114, 83.780669, 83.774114, 800.000000, 800.062600, 800.000000, 83.880507, 0.099816, -0.006557, 0.162335, 83.780669
10.175000, 83.774114, 83.780651, 83.774114, 800.000000, 800.062424, 800.000000, 83.880489, 0.099816, -0.006539, 0.162328, 83.780651
10.176000, 83.774114, 83.780632, 83.774114, 800.000000, 800.062249, 800.000000, 83.880471, 0.099817, -0.006520, 0.162322, 83.780632
10.177000, 83.774114, 83.780614, 83.774114, 800.000000, 800.062075, 800.000000, 83.880453, 0.099817, -0.006502, 0.162315, 83.780614
10.178000, 83.774114, 83.780596, 83.774114, 800.000000, 800.061901, 800.000000, 83.880435, 0.099818, -0.006484, 0.162309, 83.780596
10.179000, 83.774114, 83.780578, 83.774114, 800.000000, 800.061727, 800.000000, 83.880417, 0.099819, -0.006466, 0.162302, 83.780578
10.180000, 83.774114, 83.780560, 83.774114, 800.000000, 800.061554, 800.000000, 83.880400, 0.099819, -0.006448, 0.162296, 83.780560
10.181000, 83.774114, 83.780541, 83.774114, 800.000000, 800.061381, 800.000000, 83.880382, 0.099820, -0.006430, 0.162289, 83.780541
10.182000, 83.774114, 83.780523, 83.774114, 800.000000, 800.061209, 800.000000, 83.880365, 0.099820, -0.006411, 0.162283, 83.780523
10.183000, 83.774114, 83.780505, 83.774114, 800.000000, 800.061038, 800.000000, 83.880347, 0.099821, -0.006394, 0.162277, 83.780505
10.184000, 83.774114, 83.780488, 83.774114, 800.000000, 800.060866, 800.000000, 83.880330, 0.099821, -0.006376, 0.162270, 83.780488
10.185000, 83.774114, 83.780470, 83.774114, 800.000000, 800.060696, 800.000000, 83.880312, 0.099822, -0.006358, 0.162264, 83.780470
10.186000, 83.774114, 83.780452, 83.774114, 800.000000, 800.060526, 800.000000, 83.880295, 0.099822, -0.006340, 0.162258, 83.780452
10.187000, 83.774114, 83.780434, 83.774114, 800.000000, 800.060356, 800.000000, 83.880277, 0.099823, -0.006322, 0.162251, 83.780434
